Damage,Rainfall,Wind,Temperature,Crop History
4,2.84,11.2,77.2,3
4,4.12,10.4,82.7,1
2,1.23,12.1,81,1
3,1.79,12.9,82.4,3
1,2.04,9.4,79.1,2
6,3.72,8.4,82.3,3
2,2.76,12.5,80.2,2
1,2.14,7.8,76.8,2
8,5.01,12.4,79.3,1
2,2.99,11.5,83.9,2
2,3.47,8.6,81.2,3
3,3.04,8,79.6,2
8,2.22,11.1,80.2,2
3,3.16,8.6,80.4,3
5,4.22,12,78,3
1,1.8,9.8,83,2
1,2.53,7.4,81.4,3
6,3.96,8.9,78.2,3
9,4.37,12.2,82.4,1
3,2.21,11.7,80.9,1
4,3.3,10.3,80.9,3
4,2.62,11.7,82.1,1
3,3.98,10.6,79.6,2
6,4.51,11.2,79.1,3